epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.45056,2.82478,4.01555,1.66621,0.00667,0.33333,0.00972,0.00282,2.57716,3.55287,1.34302,0.0001,0.0001,0.0001
2,5.31682,2.12312,3.579,1.31305,0.01407,0.7037,0.03492,0.01666,1.61766,3.44834,1.03644,0.000217822,0.000217822,0.000217822
3,6.93701,1.77019,2.58049,1.07953,0.01852,0.92593,0.05745,0.02325,1.49934,3.36902,1.02741,0.000333268,0.000333268,0.000333268
4,8.49351,1.63432,1.93068,1.05782,0.01852,0.92593,0.05614,0.02652,1.44891,3.2763,1.00063,0.000446338,0.000446338,0.000446338
5,10.0222,1.65308,1.6928,1.06613,0.01852,0.92593,0.08967,0.02976,1.51053,3.23596,1.00314,0.000557032,0.000557032,0.000557032
6,11.5351,1.62116,1.56129,1.06418,0.01852,0.92593,0.08026,0.0298,1.62704,3.19642,1.05015,0.00066535,0.00066535,0.00066535
7,13.1127,1.51399,1.58108,1.06189,0.01852,0.92593,0.02695,0.01081,1.63685,3.11478,1.03391,0.000771292,0.000771292,0.000771292
8,14.6372,1.52008,1.44067,1.03949,0.01889,0.94444,0.07957,0.04375,1.36658,3.02336,0.97744,0.000874858,0.000874858,0.000874858
9,16.1702,1.44342,1.31215,1.00443,0.02,1,0.23081,0.14492,1.43313,2.82832,0.9943,0.000976048,0.000976048,0.000976048
10,17.6668,1.34368,1.22943,0.99488,0.02,1,0.23165,0.15042,1.43271,2.84716,0.98159,0.00107486,0.00107486,0.00107486
11,19.1354,1.37619,1.20586,0.98777,0.01963,0.98148,0.34135,0.18866,1.73863,2.78661,1.05904,0.0011713,0.0011713,0.0011713
12,20.6905,1.4311,1.15906,0.98702,0.99125,0.11111,0.7385,0.37239,1.52657,2.4744,1.05878,0.00126536,0.00126536,0.00126536
13,22.2401,1.41814,1.22861,1.05812,0.89975,0.22222,0.70737,0.37013,1.49504,2.31974,1.0511,0.00135705,0.00135705,0.00135705
14,23.8533,1.43483,1.17846,1.01748,0.83405,0.18621,0.74034,0.36151,1.53575,2.33469,1.04209,0.00144636,0.00144636,0.00144636
15,25.3367,1.46019,1.21062,1.0197,0.8694,0.49325,0.82871,0.39758,1.58027,2.0923,1.03795,0.00153329,0.00153329,0.00153329
16,26.8561,1.4539,1.14502,1.00236,0.84944,0.72222,0.82954,0.43531,1.6072,1.90886,1.06156,0.00161785,0.00161785,0.00161785
17,28.2981,1.52325,1.15502,1.01869,0.89106,0.7574,0.89736,0.44737,1.62598,1.80417,1.06001,0.0016832,0.0016832,0.0016832
18,29.7934,1.47112,1.09754,0.98713,0.78584,0.81481,0.82146,0.43261,1.49519,1.6306,0.99295,0.0016634,0.0016634,0.0016634
19,31.2313,1.39508,1.09199,0.98987,0.80617,0.85185,0.82954,0.43819,1.47579,1.58409,0.99812,0.0016436,0.0016436,0.0016436
20,32.7465,1.31138,1.05904,0.97219,0.75342,0.67907,0.82102,0.42622,1.58849,1.65357,1.09071,0.0016238,0.0016238,0.0016238
21,34.2298,1.33475,1.07934,0.99182,0.80846,0.78168,0.89187,0.51766,1.44373,1.51289,1.02931,0.001604,0.001604,0.001604
